Quantity,UnitPrice,Frequency,InvoiceDate,TotalSpend,Recency,Cluster_2,Cluster Description
5543,3.526666666666667,114,2011-09-22 10:38:00,19548.313333333335,78,0,"Low-Spend, Inactive Buyers"
209,6.320357142857143,28,2011-02-11 15:47:00,1320.9546428571427,300,0,"Low-Spend, Inactive Buyers"
829,2.7137704918032783,61,2011-09-26 10:16:00,2249.715737704918,74,0,"Low-Spend, Inactive Buyers"
282,5.25725,40,2011-10-04 09:00:00,1482.5445,66,0,"Low-Spend, Inactive Buyers"
300,8.57,18,2011-05-06 14:51:00,2571.0,216,0,"Low-Spend, Inactive Buyers"
77242,3.2131362467866325,778,2011-11-15 14:22:00,248189.06997429306,23,1,"High-Spend, Active Buyers"
1539,5.4254040404040405,198,2011-12-06 14:52:00,8349.696818181817,2,0,"Low-Spend, Inactive Buyers"
407,3.5644117647058824,34,2011-08-19 11:08:00,1450.715588235294,112,0,"Low-Spend, Inactive Buyers"
345,4.707241379310345,29,2011-10-07 08:55:00,1623.998275862069,63,0,"Low-Spend, Inactive Buyers"
483,4.438695652173913,46,2011-11-24 09:07:00,2143.89,15,0,"Low-Spend, Inactive Buyers"
370,3.26025641025641,39,2011-09-05 09:48:00,1206.2948717948718,95,0,"Low-Spend, Inactive Buyers"
1327,2.897222222222222,126,2011-12-09 10:10:00,3844.6138888888886,0,0,"Low-Spend, Inactive Buyers"
740,2.780666666666667,30,2011-06-30 12:06:00,2057.6933333333336,162,0,"Low-Spend, Inactive Buyers"
496,2.5644444444444443,36,2011-09-22 17:31:00,1271.9644444444443,77,0,"Low-Spend, Inactive Buyers"
258,3.9363333333333332,30,2011-05-29 12:26:00,1015.574,194,0,"Low-Spend, Inactive Buyers"
236,4.604857142857142,35,2011-11-28 10:48:00,1086.7462857142855,11,0,"Low-Spend, Inactive Buyers"
3503,4.7293,300,2011-11-14 08:22:00,16566.7379,25,0,"Low-Spend, Inactive Buyers"
1557,3.6307216494845362,97,2011-11-30 17:22:00,5653.033608247423,8,0,"Low-Spend, Inactive Buyers"
117,6.225454545454546,11,2011-10-27 15:09:00,728.3781818181818,42,0,"Low-Spend, Inactive Buyers"
2858,3.74581589958159,239,2011-11-04 11:55:00,10705.541841004184,35,0,"Low-Spend, Inactive Buyers"
1801,10.550833333333333,108,2011-10-28 11:43:00,19002.050833333335,42,0,"Low-Spend, Inactive Buyers"
11071,2.1927380952380955,420,2011-12-09 10:02:00,24275.803452380955,0,0,"Low-Spend, Inactive Buyers"
373,3.669074074074074,54,2011-09-16 12:38:00,1368.5646296296297,84,0,"Low-Spend, Inactive Buyers"
2055,5.479166666666667,36,2011-09-21 09:06:00,11259.6875,79,0,"Low-Spend, Inactive Buyers"
211,5.2675,16,2011-09-01 12:09:00,1111.4425,99,0,"Low-Spend, Inactive Buyers"
2918,4.027114427860697,201,2011-12-08 11:35:00,11751.119900497515,1,0,"Low-Spend, Inactive Buyers"
1180,3.894897959183673,98,2011-11-25 13:28:00,4595.9795918367345,13,0,"Low-Spend, Inactive Buyers"
121,3.700909090909091,11,2010-12-08 10:45:00,447.81,366,0,"Low-Spend, Inactive Buyers"
182,3.34,12,2011-12-06 14:22:00,607.88,2,0,"Low-Spend, Inactive Buyers"
1155,6.32276836158192,177,2011-11-18 13:23:00,7302.797457627117,20,0,"Low-Spend, Inactive Buyers"
62,7.9875,4,2011-11-17 18:43:00,495.22499999999997,21,0,"Low-Spend, Inactive Buyers"
352,4.277586206896552,58,2011-10-13 12:50:00,1505.7103448275861,57,0,"Low-Spend, Inactive Buyers"
190,3.5742307692307693,26,2011-04-10 13:25:00,679.1038461538461,242,0,"Low-Spend, Inactive Buyers"
243,5.951818181818182,22,2011-10-26 13:46:00,1446.2918181818181,43,0,"Low-Spend, Inactive Buyers"
1553,3.694712041884817,191,2011-11-17 13:46:00,5737.887801047121,21,0,"Low-Spend, Inactive Buyers"
128,1.6175,8,2011-07-06 14:41:00,207.04,155,0,"Low-Spend, Inactive Buyers"
6455,2.445577464788732,355,2011-11-29 08:40:00,15786.202535211265,10,0,"Low-Spend, Inactive Buyers"
183,4.3334782608695654,23,2011-11-23 10:28:00,793.0265217391304,16,0,"Low-Spend, Inactive Buyers"
473,2.393255813953488,43,2011-07-28 14:08:00,1132.0099999999998,133,0,"Low-Spend, Inactive Buyers"
0,7.282,30,2011-10-17 15:07:00,0.0,52,0,"Low-Spend, Inactive Buyers"
2089,3.173333333333334,90,2011-09-27 15:31:00,6629.093333333334,72,0,"Low-Spend, Inactive Buyers"
1616,3.5765116279069766,129,2011-10-26 14:41:00,5779.642790697674,43,0,"Low-Spend, Inactive Buyers"
695,5.181911764705882,68,2011-10-12 13:46:00,3601.428676470588,57,0,"Low-Spend, Inactive Buyers"
506,4.326315789473685,38,2011-09-29 15:25:00,2189.1157894736843,70,0,"Low-Spend, Inactive Buyers"
287,4.258857142857143,35,2011-09-06 16:57:00,1222.292,93,0,"Low-Spend, Inactive Buyers"
514,4.616944444444445,72,2011-12-07 14:02:00,2373.1094444444448,1,0,"Low-Spend, Inactive Buyers"
757,3.067159090909091,88,2011-10-24 13:43:00,2321.8394318181818,45,0,"Low-Spend, Inactive Buyers"
112,11.832758620689654,29,2011-11-29 13:33:00,1325.2689655172412,9,0,"Low-Spend, Inactive Buyers"
475,2.706274509803922,51,2011-12-02 11:34:00,1285.4803921568628,7,0,"Low-Spend, Inactive Buyers"
364,3.47675,40,2011-07-19 13:42:00,1265.537,142,0,"Low-Spend, Inactive Buyers"
7953,4.2715471698113205,530,2011-12-07 15:43:00,33971.61464150943,1,0,"Low-Spend, Inactive Buyers"
4020,2.4811253196930947,391,2011-11-09 11:33:00,9974.12378516624,30,0,"Low-Spend, Inactive Buyers"
2338,13.693370786516855,178,2011-11-10 13:48:00,32015.100898876408,28,0,"Low-Spend, Inactive Buyers"
4750,2.910989010989011,455,2011-11-22 14:39:00,13827.197802197801,16,0,"Low-Spend, Inactive Buyers"
535,2.941111111111111,36,2011-10-17 10:10:00,1573.4944444444443,53,0,"Low-Spend, Inactive Buyers"
2337,4.950492424242425,264,2011-12-08 14:08:00,11569.300795454546,0,0,"Low-Spend, Inactive Buyers"
3620,4.330746753246753,308,2011-11-17 09:51:00,15677.303246753247,22,0,"Low-Spend, Inactive Buyers"
236,4.537777777777778,36,2011-12-06 09:56:00,1070.9155555555558,3,0,"Low-Spend, Inactive Buyers"
351,2.612285714285714,35,2011-12-06 09:25:00,916.9122857142856,3,0,"Low-Spend, Inactive Buyers"
1707,3.1344155844155845,154,2011-11-11 14:52:00,5350.447402597403,27,0,"Low-Spend, Inactive Buyers"
3280,3.4091705069124423,217,2011-11-17 08:29:00,11182.07926267281,22,0,"Low-Spend, Inactive Buyers"
1097,5.977901234567902,81,2011-11-22 17:03:00,6557.757654320989,16,0,"Low-Spend, Inactive Buyers"
2181,3.183371757925072,347,2011-11-07 11:37:00,6942.933804034583,32,0,"Low-Spend, Inactive Buyers"
529,3.7347272727272727,55,2011-11-30 08:50:00,1975.6707272727272,9,0,"Low-Spend, Inactive Buyers"
105,5.908,15,2011-01-07 13:13:00,620.34,335,0,"Low-Spend, Inactive Buyers"
3064,2.692857142857143,245,2011-12-04 16:07:00,8250.914285714287,4,0,"Low-Spend, Inactive Buyers"
260,3.376923076923077,26,2011-11-01 12:18:00,878.0,38,0,"Low-Spend, Inactive Buyers"
192,3.3475,20,2011-10-07 15:15:00,642.72,62,0,"Low-Spend, Inactive Buyers"
206,4.858695652173913,23,2011-06-27 10:17:00,1000.8913043478261,165,0,"Low-Spend, Inactive Buyers"
690,4.189761904761904,84,2011-11-30 09:21:00,2890.935714285714,9,0,"Low-Spend, Inactive Buyers"
1236,2.06,14,2011-09-19 12:29:00,2546.16,81,0,"Low-Spend, Inactive Buyers"
159,4.197826086956522,23,2011-11-18 12:53:00,667.454347826087,20,0,"Low-Spend, Inactive Buyers"
2671,5.876153846153846,65,2011-11-16 16:20:00,15695.206923076923,22,0,"Low-Spend, Inactive Buyers"
1722,2.42075,160,2011-01-28 13:54:00,4168.5315,314,0,"Low-Spend, Inactive Buyers"
820,6.425238095238095,147,2011-09-05 11:52:00,5268.695238095238,95,0,"Low-Spend, Inactive Buyers"
-1,1126.0,1,2011-01-06 11:51:00,-1126.0,337,0,"Low-Spend, Inactive Buyers"
51,9.446666666666665,15,2011-11-21 16:02:00,481.7799999999999,17,0,"Low-Spend, Inactive Buyers"
-1,4.5,1,2011-02-11 13:39:00,-4.5,300,0,"Low-Spend, Inactive Buyers"
23,3.1956521739130435,23,2011-04-21 08:54:00,73.5,232,0,"Low-Spend, Inactive Buyers"
894,4.624782608695653,23,2011-07-28 17:09:00,4134.555652173914,133,0,"Low-Spend, Inactive Buyers"
271,1.7400000000000002,68,2011-11-13 15:37:00,471.5400000000001,25,0,"Low-Spend, Inactive Buyers"
55,5.564285714285715,7,2011-02-28 14:45:00,306.03571428571433,283,0,"Low-Spend, Inactive Buyers"
353,4.263333333333334,33,2011-07-20 10:15:00,1504.9566666666667,142,0,"Low-Spend, Inactive Buyers"
96,2.640322580645161,31,2011-10-04 14:55:00,253.47096774193545,65,0,"Low-Spend, Inactive Buyers"
456,2.2380555555555555,36,2011-09-16 12:45:00,1020.5533333333333,84,0,"Low-Spend, Inactive Buyers"
440,3.296862745098039,51,2011-03-17 16:38:00,1450.6196078431371,266,0,"Low-Spend, Inactive Buyers"
131,6.78125,16,2010-12-21 15:43:00,888.34375,352,0,"Low-Spend, Inactive Buyers"
875,2.725769230769231,26,2011-09-23 09:13:00,2385.048076923077,77,0,"Low-Spend, Inactive Buyers"
1338,2.360462633451957,281,2011-11-11 14:04:00,3158.2990035587186,27,0,"Low-Spend, Inactive Buyers"
1318,2.837177419354839,124,2011-12-09 10:13:00,3739.3998387096776,0,0,"Low-Spend, Inactive Buyers"
175,3.093529411764706,17,2011-10-07 09:26:00,541.3676470588235,63,0,"Low-Spend, Inactive Buyers"
1430,3.3941290322580646,155,2011-09-21 15:23:00,4853.604516129032,78,0,"Low-Spend, Inactive Buyers"
309,2.995789473684211,38,2011-07-20 10:51:00,925.6989473684212,142,0,"Low-Spend, Inactive Buyers"
194,5.0008333333333335,12,2011-10-31 15:30:00,970.1616666666667,38,0,"Low-Spend, Inactive Buyers"
861,5.157818181818182,110,2011-12-08 11:46:00,4440.881454545454,1,0,"Low-Spend, Inactive Buyers"
3699,2.9170833333333333,144,2011-11-30 15:31:00,10790.29125,8,0,"Low-Spend, Inactive Buyers"
632,3.3538028169014087,71,2011-12-09 12:09:00,2119.60338028169,0,0,"Low-Spend, Inactive Buyers"
234,2.9294444444444445,18,2011-09-19 11:55:00,685.49,81,0,"Low-Spend, Inactive Buyers"
750,5.393052631578947,95,2011-11-30 14:40:00,4044.7894736842104,8,0,"Low-Spend, Inactive Buyers"
900,3.8892647058823533,68,2011-10-11 12:34:00,3500.338235294118,59,0,"Low-Spend, Inactive Buyers"
45,3.8094117647058825,17,2011-11-25 11:12:00,171.42352941176472,14,0,"Low-Spend, Inactive Buyers"
153,3.698125,16,2011-11-09 13:47:00,565.813125,29,0,"Low-Spend, Inactive Buyers"
651,3.035396825396825,63,2011-08-01 10:26:00,1976.043333333333,130,0,"Low-Spend, Inactive Buyers"
219,4.451470588235294,34,2011-09-09 08:48:00,974.8720588235293,91,0,"Low-Spend, Inactive Buyers"
2652,48.55391941391942,273,2011-12-02 12:43:00,128764.99428571429,7,0,"Low-Spend, Inactive Buyers"
191,3.6433333333333335,21,2011-11-10 17:16:00,695.8766666666667,28,0,"Low-Spend, Inactive Buyers"
2066,10.423503649635036,274,2011-11-17 13:30:00,21534.958540145984,21,0,"Low-Spend, Inactive Buyers"
6677,3.8988357588357587,481,2011-11-20 11:31:00,26032.52636174636,19,0,"Low-Spend, Inactive Buyers"
680,3.615769230769231,52,2011-11-10 10:40:00,2458.7230769230773,29,0,"Low-Spend, Inactive Buyers"
132,4.1135,20,2011-11-10 11:12:00,542.982,29,0,"Low-Spend, Inactive Buyers"
523,4.0238,50,2011-09-25 13:39:00,2104.4474,74,0,"Low-Spend, Inactive Buyers"
617,3.1714285714285713,70,2011-10-24 12:09:00,1956.7714285714285,46,0,"Low-Spend, Inactive Buyers"
134,7.95,8,2011-05-26 12:38:00,1065.3,197,0,"Low-Spend, Inactive Buyers"
49,6.720000000000001,5,2011-06-26 15:35:00,329.28000000000003,165,0,"Low-Spend, Inactive Buyers"
569,3.0903508771929826,57,2011-09-21 14:35:00,1758.4096491228072,78,0,"Low-Spend, Inactive Buyers"
100,1.6800000000000002,10,2010-12-17 11:23:00,168.00000000000003,357,0,"Low-Spend, Inactive Buyers"
88,9.1155,20,2011-11-01 10:02:00,802.1640000000001,38,0,"Low-Spend, Inactive Buyers"
1924,3.151938775510204,196,2011-12-01 16:38:00,6064.3302040816325,7,0,"Low-Spend, Inactive Buyers"
355,2.6860504201680673,119,2011-10-20 13:06:00,953.5478991596639,49,0,"Low-Spend, Inactive Buyers"
4384,2.1766666666666667,33,2011-11-23 16:59:00,9542.506666666666,15,0,"Low-Spend, Inactive Buyers"
0,1.25,22,2011-12-08 10:14:00,0.0,1,0,"Low-Spend, Inactive Buyers"
281,3.9672727272727273,22,2011-02-02 09:49:00,1114.8036363636363,310,0,"Low-Spend, Inactive Buyers"
1078,2.8450450450450453,111,2011-12-04 13:54:00,3066.9585585585587,4,0,"Low-Spend, Inactive Buyers"
177,2.964375,16,2011-02-10 11:39:00,524.694375,302,0,"Low-Spend, Inactive Buyers"
1779,3.188214285714286,168,2011-12-01 17:20:00,5671.833214285714,7,0,"Low-Spend, Inactive Buyers"
133,5.576190476190476,21,2011-03-23 14:55:00,741.6333333333333,260,0,"Low-Spend, Inactive Buyers"
75,2.411,10,2011-03-03 11:43:00,180.825,281,0,"Low-Spend, Inactive Buyers"
264,3.9560000000000004,20,2011-09-28 09:57:00,1044.384,72,0,"Low-Spend, Inactive Buyers"
4089,3.363606911447084,463,2011-11-17 11:02:00,13753.788660907127,22,0,"Low-Spend, Inactive Buyers"
1793,5.558376963350786,191,2011-12-07 16:24:00,9966.16989528796,1,0,"Low-Spend, Inactive Buyers"
523,1.3205882352941176,34,2011-10-31 10:19:00,690.6676470588235,39,0,"Low-Spend, Inactive Buyers"
450,4.344677419354839,62,2011-12-01 09:20:00,1955.1048387096776,8,0,"Low-Spend, Inactive Buyers"
84,2.0964285714285715,28,2011-04-26 15:52:00,176.10000000000002,226,0,"Low-Spend, Inactive Buyers"
61,5.2,11,2011-01-28 09:20:00,317.2,315,0,"Low-Spend, Inactive Buyers"
964,2.410674157303371,89,2011-11-04 10:11:00,2323.8898876404496,35,0,"Low-Spend, Inactive Buyers"
463,1.7950340136054421,147,2011-11-04 13:28:00,831.1007482993197,34,0,"Low-Spend, Inactive Buyers"
1171,3.1083333333333334,120,2011-11-18 13:30:00,3639.8583333333336,20,0,"Low-Spend, Inactive Buyers"
278,3.766774193548387,31,2011-09-27 13:57:00,1047.1632258064515,72,0,"Low-Spend, Inactive Buyers"
238,2.6075,24,2011-04-07 10:24:00,620.585,246,0,"Low-Spend, Inactive Buyers"
161,2.8926666666666665,15,2011-10-31 08:56:00,465.7193333333333,39,0,"Low-Spend, Inactive Buyers"
300,5.2318181818181815,22,2011-04-15 08:45:00,1569.5454545454545,238,0,"Low-Spend, Inactive Buyers"
5009,3.1525099601593625,251,2011-12-07 08:07:00,15790.922390438247,2,0,"Low-Spend, Inactive Buyers"
354,7.445238095238095,126,2011-12-06 09:35:00,2635.614285714286,3,0,"Low-Spend, Inactive Buyers"
1258,3.497422680412371,97,2011-04-19 13:39:00,4399.757731958763,233,0,"Low-Spend, Inactive Buyers"
77,4.55,12,2011-11-22 16:24:00,350.34999999999997,16,0,"Low-Spend, Inactive Buyers"
51,11.56,4,2011-12-02 12:47:00,589.5600000000001,7,0,"Low-Spend, Inactive Buyers"
53,9.58,10,2011-10-31 15:01:00,507.74,38,0,"Low-Spend, Inactive Buyers"
306,4.502857142857143,35,2011-11-11 10:19:00,1377.8742857142856,28,0,"Low-Spend, Inactive Buyers"
4279,10.26657142857143,70,2011-06-02 14:25:00,43930.65914285715,189,0,"Low-Spend, Inactive Buyers"
228,3.7807692307692307,26,2011-01-26 14:35:00,862.0153846153846,316,0,"Low-Spend, Inactive Buyers"
290,3.311111111111111,18,2011-09-08 15:04:00,960.2222222222222,91,0,"Low-Spend, Inactive Buyers"
206,2.6523809523809527,21,2011-08-23 12:43:00,546.3904761904763,108,0,"Low-Spend, Inactive Buyers"
1776,3.1489915966386555,119,2011-11-02 12:20:00,5592.609075630252,37,0,"Low-Spend, Inactive Buyers"
474,4.405555555555556,27,2011-10-19 13:02:00,2088.2333333333336,50,0,"Low-Spend, Inactive Buyers"
2187,3.983691588785047,214,2011-11-20 13:33:00,8712.333504672897,18,0,"Low-Spend, Inactive Buyers"
1940,2.827593984962406,133,2011-11-30 12:18:00,5485.532330827068,9,0,"Low-Spend, Inactive Buyers"
956,2.9962903225806454,62,2011-11-10 13:34:00,2864.453548387097,28,0,"Low-Spend, Inactive Buyers"
773,5.666461538461538,65,2011-11-11 10:29:00,4380.174769230769,28,0,"Low-Spend, Inactive Buyers"
244,6.545172413793104,29,2011-06-03 10:17:00,1597.0220689655173,189,0,"Low-Spend, Inactive Buyers"
162,1.9708333333333332,12,2011-10-12 11:22:00,319.275,58,0,"Low-Spend, Inactive Buyers"
64,9.65,3,2011-11-18 10:42:00,617.6,21,0,"Low-Spend, Inactive Buyers"
201,2.59125,16,2011-09-21 14:08:00,520.8412500000001,78,0,"Low-Spend, Inactive Buyers"
-4,1.8,3,2010-12-09 15:41:00,-7.2,364,0,"Low-Spend, Inactive Buyers"
0,2.1577227722772276,202,2011-10-12 16:17:00,0.0,57,0,"Low-Spend, Inactive Buyers"
648,3.5178333333333334,60,2011-09-22 16:34:00,2279.556,77,0,"Low-Spend, Inactive Buyers"
1028,4.9168468468468465,111,2011-11-17 09:34:00,5054.518558558558,22,0,"Low-Spend, Inactive Buyers"
846,2.675076923076923,65,2011-10-18 13:12:00,2263.115076923077,51,0,"Low-Spend, Inactive Buyers"
251,4.487619047619048,21,2011-10-13 12:12:00,1126.392380952381,57,0,"Low-Spend, Inactive Buyers"
1596,2.9307361963190184,163,2011-11-08 13:30:00,4677.454969325153,30,0,"Low-Spend, Inactive Buyers"
76,5.61,20,2011-03-07 10:22:00,426.36,277,0,"Low-Spend, Inactive Buyers"
1376,3.0896190476190477,105,2011-12-07 15:02:00,4251.31580952381,1,0,"Low-Spend, Inactive Buyers"
273,4.054166666666666,36,2011-09-15 17:02:00,1106.7875,84,0,"Low-Spend, Inactive Buyers"
210,1.928780487804878,41,2011-11-10 14:39:00,405.04390243902435,28,0,"Low-Spend, Inactive Buyers"
96,6.6381818181818195,11,2011-11-18 11:10:00,637.2654545454546,21,0,"Low-Spend, Inactive Buyers"
3354,10.848105263157894,95,2011-11-23 14:52:00,36384.545052631576,15,0,"Low-Spend, Inactive Buyers"
1181,2.1478260869565218,92,2011-11-25 10:20:00,2536.582608695652,14,0,"Low-Spend, Inactive Buyers"
7404,2.8979957805907173,474,2011-12-08 11:25:00,21456.76075949367,1,0,"Low-Spend, Inactive Buyers"
69,5.739090909090909,11,2011-04-21 16:39:00,395.99727272727273,231,0,"Low-Spend, Inactive Buyers"
191,2.628888888888889,18,2011-03-08 13:50:00,502.1177777777778,275,0,"Low-Spend, Inactive Buyers"
355,3.8721052631578945,38,2011-08-25 15:04:00,1374.5973684210526,105,0,"Low-Spend, Inactive Buyers"
1577,2.3147252747252747,91,2011-05-12 09:54:00,3650.3217582417583,211,0,"Low-Spend, Inactive Buyers"
3350,2.8403908794788273,307,2011-11-16 16:06:00,9515.309446254072,22,0,"Low-Spend, Inactive Buyers"
2752,2.937913043478261,230,2011-11-29 12:07:00,8085.136695652174,10,0,"Low-Spend, Inactive Buyers"
445,3.677674418604651,43,2011-12-05 13:15:00,1636.5651162790698,3,0,"Low-Spend, Inactive Buyers"
548,4.48640625,64,2011-11-30 10:48:00,2458.550625,9,0,"Low-Spend, Inactive Buyers"
236,4.537096774193548,31,2011-10-13 13:53:00,1070.7548387096774,56,0,"Low-Spend, Inactive Buyers"
1149,3.1774757281553403,103,2011-10-12 11:40:00,3650.919611650486,58,0,"Low-Spend, Inactive Buyers"
1172,2.522079207920792,101,2011-09-11 11:04:00,2955.876831683168,89,0,"Low-Spend, Inactive Buyers"
2982,2.6973834196891193,386,2011-10-03 13:46:00,8043.597357512954,66,0,"Low-Spend, Inactive Buyers"
577,2.56,39,2011-11-06 13:11:00,1477.1200000000001,32,0,"Low-Spend, Inactive Buyers"
201,4.918181818181818,22,2011-04-15 12:48:00,988.5545454545454,238,0,"Low-Spend, Inactive Buyers"
311,5.716981132075472,53,2011-11-16 11:52:00,1777.9811320754718,23,0,"Low-Spend, Inactive Buyers"
72,6.964999999999999,10,2011-08-16 13:26:00,501.4799999999999,114,0,"Low-Spend, Inactive Buyers"
552,3.5906382978723403,47,2011-11-14 15:03:00,1982.0323404255319,24,0,"Low-Spend, Inactive Buyers"
1808,5.187916666666666,24,2011-08-03 12:56:00,9379.753333333332,127,0,"Low-Spend, Inactive Buyers"
325,2.8045161290322578,31,2011-08-02 10:33:00,911.4677419354838,129,0,"Low-Spend, Inactive Buyers"
1072,2.598108108108108,74,2011-11-06 12:38:00,2785.171891891892,33,0,"Low-Spend, Inactive Buyers"
897,2.387111111111111,45,2011-12-05 10:14:00,2141.2386666666666,4,0,"Low-Spend, Inactive Buyers"
1420,5.44265625,128,2011-11-17 12:56:00,7728.571875,21,0,"Low-Spend, Inactive Buyers"
160,3.1723809523809527,21,2011-07-08 11:55:00,507.58095238095245,154,0,"Low-Spend, Inactive Buyers"
574,2.6336363636363633,33,2011-08-24 14:41:00,1511.7072727272725,106,0,"Low-Spend, Inactive Buyers"
254,1.9344999999999999,20,2011-12-06 16:34:00,491.36299999999994,2,0,"Low-Spend, Inactive Buyers"
78,2.244444444444445,9,2011-01-09 12:46:00,175.0666666666667,334,0,"Low-Spend, Inactive Buyers"
502,2.8337254901960787,51,2011-01-21 17:01:00,1422.5301960784316,321,0,"Low-Spend, Inactive Buyers"
